date,team1,score1,team2,score2,forfeit,overtime
2026-08-12,Rockwood Summit,,Francis Howell Central,,False,False
2026-08-20,Liberty,,Liberty North,,False,False
2026-08-20,Platte County,,Liberty North,,False,False
2026-08-20,Raytown South,,Raytown,,False,False
2026-08-20,Grandview,,Raytown,,False,False
2026-08-21,Lutheran St. Charles,,Holt,,False,False
2026-08-21,Westminster Christian Academy,,Holt,,False,False
2026-08-21,St. Charles West,,Holt,,False,False
2026-08-21,Westminster Christian Academy,,Lutheran St. Charles,,False,False
2026-08-21,St. Charles West,,Lutheran St. Charles,,False,False
2026-08-21,St. Charles West,,Westminster Christian Academy,,False,False
2026-08-22,New Haven,0,Calvary Lutheran,2,False,False
2026-08-22,Stover,2,Calvary Lutheran,0,False,False
2026-08-22,Maryville,2,Lathrop,0,False,False
2026-08-22,Cameron,0,Maryville,2,False,False
2026-08-22,Clarkton,3,Southland,0,False,False
2026-08-22,Twin Rivers,3,Southland,0,False,False
2026-08-24,Eminence,3,Lesterville,0,False,False
2026-08-24,Thayer,0,Lesterville,3,False,False
2026-08-24,St. Dominic,,Francis Howell,,False,False
2026-08-24,Kirkwood,,Francis Howell,,False,False
2026-08-24,Ladue Horton Watkins,,Francis Howell,,False,False
2026-08-24,Pleasant Hope,,New Covenant Academy,,False,False
2026-08-24,Osceola,,Skyline,,False,False
2026-08-24,Windsor,,Skyline,,False,False
2026-08-24,Green Ridge,,Skyline,,False,False
2026-08-24,Winfield,,St. Charles,,False,False
2026-08-24,Wright City,,St. Charles,,False,False
2026-08-24,Notre Dame de Sion,,St. Pius X (Kansas City),,False,False
2026-08-24,St. Michael the Archangel,,St. Pius X (Kansas City),,False,False
2026-08-24,Wright City,,Winfield,,False,False
2026-08-25,Savannah,1,Benton,1,False,False
2026-08-25,Bishop LeBlond,1,Benton,1,False,False
2026-08-25,Central (St. Joseph),1,Benton,1,False,False
2026-08-25,Monett,2,Crane,0,False,False
2026-08-25,Diamond,1,Crane,1,False,False
2026-08-25,Marionville,0,Crane,2,False,False
2026-08-25,Windsor (Imperial),1,DeSoto,1,False,False
2026-08-25,St. Clair,2,DeSoto,0,False,False
2026-08-25,Monett,2,Diamond,0,False,False
2026-08-25,Marionville,1,Diamond,1,False,False
2026-08-25,Belle,2,Dixon,1,False,False
2026-08-25,Plato,2,Dixon,1,False,False
2026-08-25,Parkview,0,Fair Grove,2,False,False
2026-08-25,Republic,2,Fair Grove,0,False,False
2026-08-25,Logan-Rogersville,1,Fair Grove,1,False,False
2026-08-25,Ft. Zumwalt North,3,Ft. Zumwalt East,0,False,False
2026-08-25,Nevada,3,Joplin,0,False,False
2026-08-25,Carthage,1,Joplin,2,False,False
2026-08-25,Miller Career Academy,1,McKinley Classical Leadership,2,False,False
2026-08-25,Gateway with Soldan International Studies,0,McKinley Classical Leadership,2,False,False
2026-08-25,California,,Battle,,False,False
2026-08-25,Fatima,,Battle,,False,False
2026-08-25,Bolivar,,Buffalo,,False,False
2026-08-25,Osage,,Buffalo,,False,False
2026-08-25,Hillcrest,,Buffalo,,False,False
2026-08-25,Hayti,,Delta (Deering),,False,False
2026-08-25,Cooter,,Delta (Deering),,False,False
2026-08-25,Ft. Zumwalt South,,Ft. Zumwalt East,,False,False
2026-08-25,Ft. Zumwalt West,,Ft. Zumwalt East,,False,False
2026-08-25,Ft. Zumwalt South,,Ft. Zumwalt North,,False,False
2026-08-25,Ft. Zumwalt West,,Ft. Zumwalt North,,False,False
2026-08-25,Cooter,,Hayti,,False,False
2026-08-25,Aurora,,Joplin,,False,False
2026-08-25,St. Paul Lutheran (Farmington),,Leopold,,False,False
2026-08-25,Crystal City,,Leopold,,False,False
2026-08-25,Fredericktown,,Meadow Heights,,False,False
2026-08-25,Puxico,,Meadow Heights,,False,False
2026-08-25,Gateway with Soldan International Studies,,Miller Career Academy,,False,False
2026-08-25,Webb City,,Mt. Vernon,,False,False
2026-08-25,Carl Junction,,Mt. Vernon,,False,False
2026-08-25,Clever,,Mt. Vernon,,False,False
2026-08-25,Sullivan,,Potosi,,False,False
2026-08-25,Owensville,,Potosi,,False,False
2026-08-25,Hazelwood Central,,Rosati-Kain,,False,False
2026-08-25,Ritenour,,Rosati-Kain,,False,False
2026-08-25,University City,,Rosati-Kain,,False,False
2026-08-25,Bishop LeBlond,,Savannah,,False,False
2026-08-25,Central (St. Joseph),,Savannah,,False,False
2026-08-25,Archie,,South Harrison,,False,False
2026-08-25,Mid-Buchanan,,South Harrison,,False,False
2026-08-25,Blue Springs South,,Staley,,False,False
2026-08-25,Blue Springs,,Staley,,False,False
2026-08-25,St. Teresa's Academy,,Staley,,False,False
2026-08-25,Lexington,,Sweet Springs,,False,False
2026-08-25,Wellington-Napoleon,,Sweet Springs,,False,False
2026-08-25,Richmond,,Sweet Springs,,False,False
2026-08-25,West Nodaway with Nodaway-Holt,,Tarkio with Fairfax,,False,False
2026-08-25,Southwest (Washburn),,Wheaton,,False,False
2026-08-25,Hurley,,Wheaton,,False,False
2026-08-25,Purdy,,Wheaton,,False,False
2026-08-26,Lebanon,,Central (Springfield),,False,False
2026-08-26,Strafford,,Central (Springfield),,False,False
2026-08-27,Clearwater,0,Arcadia Valley,3,False,False
2026-08-27,Dora,1,Bakersfield,3,False,False
2026-08-27,Ash Grove,3,Billings,2,False,False
2026-08-27,Park Hill,2,Blue Springs,0,False,False
2026-08-27,St. Michael the Archangel,0,Blue Springs,2,False,False
2026-08-27,Fort Osage,1,Blue Springs South,3,False,False
2026-08-27,Winona,3,Bunker,0,False,False
2026-08-27,Knob Noster,0,California,3,False,False
2026-08-27,Osage,3,Capital City,1,False,False
2026-08-27,Perryville,3,Central (Park Hills),0,False,False
2026-08-27,Smithville,3,Central (St. Joseph),0,False,False
2026-08-27,Greenville,0,Clarkton,3,False,False
2026-08-27,STEAM Academy,3,Collegiate School of Med-Bio Science,2,False,False
2026-08-27,Gloria Deo Academy,0,Crane,3,False,False
2026-08-27,New Haven,0,Crystal City,3,False,False
2026-08-27,St. Charles,1,Duchesne,3,False,False
2026-08-27,St. Dominic,1,Eureka,2,False,False
2026-08-27,New Bloomfield,0,Father Tolton,3,False,False
2026-08-27,Hickman,3,Fatima,1,False,False
2026-08-27,Northwest (Cedar Hill),0,Festus,3,False,False
2026-08-27,Lutheran St. Charles,2,Francis Howell Central,3,False,False
2026-08-27,Troy Buchanan,3,Ft. Zumwalt South,0,False,False
2026-08-27,St. Dominic,2,Ft. Zumwalt West,0,False,False
2026-08-27,Eureka,2,Ft. Zumwalt West,1,False,False
2026-08-27,Gateway with Soldan International Studies,0,Gateway Science Charter,3,False,False
2026-08-27,Greenfield,2,Golden City,0,False,False
2026-08-27,Everton,1,Golden City,1,False,False
2026-08-27,Lee's Summit West,3,Grain Valley,0,False,False
2026-08-27,Guadalupe Centers Charter,0,Grandview,3,False,False
2026-08-27,Oak Ridge,3,Grandview (Hillsboro),0,False,False
2026-08-27,Everton,0,Greenfield,2,False,False
2026-08-27,Hillcrest,3,Greenwood,1,False,False
2026-08-27,Hallsville,3,Kirksville,0,False,False
2026-08-27,Pattonville,0,Lafayette (Wildwood),2,False,False
2026-08-27,Parkway Central,0,Lafayette (Wildwood),2,False,False
2026-08-27,Wellington-Napoleon,0,Lafayette County,3,False,False
2026-08-27,Union Star with King City,0,Lathrop,3,False,False
2026-08-27,Viburnum,0,Lesterville,3,False,False
2026-08-27,Platte County,0,Liberty North,3,False,False
2026-08-27,McKinley Classical Leadership,0,Lift for Life Academy Charter,3,False,False
2026-08-27,Bernie,0,Malden,3,False,False
2026-08-27,Francis Howell,2,Marquette,3,False,False
2026-08-27,West Nodaway with Nodaway-Holt,3,Maysville,0,False,False
2026-08-27,St. Joseph Christian,0,Mid-Buchanan,3,False,False
2026-08-27,East Newton,3,New Heights Christian,0,False,False
2026-08-27,Parkway West,1,Oakville,3,False,False
2026-08-27,Smith-Cotton,0,Odessa,3,False,False
2026-08-27,Zalma,0,Oran,3,False,False
2026-08-27,Lone Jack,3,Orrick,0,False,False
2026-08-27,Northwest (Hughesville),0,Osceola,3,False,False
2026-08-27,Eugene,2,Otterville,3,False,False
2026-08-27,Jefferson City,0,Ozark,3,False,False
2026-08-27,St. Michael the Archangel,2,Park Hill,1,False,False
2026-08-27,Pattonville,0,Parkway Central,2,False,False
2026-08-27,North Pemiscot,1,Portageville,3,False,False
2026-08-27,Park Hill South,3,Raymore-Peculiar,2,False,False
2026-08-27,Ruskin,0,Raytown,3,False,False
2026-08-27,William Chrisman,3,Raytown South,0,False,False
2026-08-27,Woodland,3,Richland (Essex),0,False,False
2026-08-27,Bloomfield,0,Risco,3,False,False
2026-08-27,New Covenant Academy,2,Sarcoxie,0,False,False
2026-08-27,Caruthersville,0,Scott City,3,False,False
2026-08-27,Exeter,1,Seneca,3,False,False
2026-08-27,Tipton,3,Smithton,1,False,False
2026-08-27,East Buchanan,3,South Holt with Craig,0,False,False
2026-08-27,Bismarck,3,South Iron,1,False,False
2026-08-27,Liberty,2,St. Pius X (Kansas City),3,False,False
2026-08-27,Oak Park,0,Staley,3,False,False
2026-08-27,Holt,3,Timberland,2,False,False
2026-08-27,Warrensburg,3,Van Horn,0,False,False
2026-08-27,Stover,3,Versailles,1,False,False
2026-08-27,Cole Camp,3,Warsaw,0,False,False
2026-08-27,St. Francis Borgia,3,Washington,0,False,False
2026-08-27,Bowling Green,0,Winfield,3,False,False
2026-08-27,Hazelwood Central,,Clayton,,False,False
2026-08-27,Mansfield,,Lutie,,False,False
2026-08-27,Hillsboro,,Notre Dame (Cape Girardeau),,False,False
2026-08-28,Cristo Rey,3,Academie Lafayette,0,False,False
2026-08-28,Benton,0,Adrian,2,False,False
2026-08-28,Sullivan,2,Adrian,0,False,False
2026-08-28,Couch,3,Bakersfield,1,False,False
2026-08-28,KIPP KC Legacy,0,Barstow,3,False,False
2026-08-28,Licking,2,Belle,1,False,False
2026-08-28,Bishop LeBlond,1,Belton,2,False,False
2026-08-28,Notre Dame de Sion,0,Belton,2,False,False
2026-08-28,Liberty (Mountain View),1,Benton,2,False,False
2026-08-28,Richland (Essex),0,Bernie,3,False,False
2026-08-28,Leopold,3,Bloomfield,0,False,False
2026-08-28,Valley Park,0,Bourbon,3,False,False
2026-08-28,Purdy,3,Bronaugh,0,False,False
2026-08-28,Saxony Lutheran,2,Cameron,0,False,False
2026-08-28,Fatima,2,Cameron,1,False,False
2026-08-28,Nerinx Hall,2,Cardinal Ritter,0,False,False
2026-08-28,St. Pius X (Kansas City),2,Central (St. Joseph),0,False,False
2026-08-28,Seckman,2,Central (St. Joseph),0,False,False
2026-08-28,Delta (Deering),0,Clarkton,3,False,False
2026-08-28,Ellington,1,Eminence,3,False,False
2026-08-28,Marion C. Early,0,Everton,3,False,False
2026-08-28,MICDS,1,Farmington,2,False,False
2026-08-28,North Point,0,Farmington,3,False,False
2026-08-28,Rock Port,0,Fatima,2,False,False
2026-08-28,Hurley,0,Fordland,3,False,False
2026-08-28,Bishop LeBlond,2,Hannibal,0,False,False
2026-08-28,Collegiate School of Med-Bio Science,1,Hazelwood West,3,False,False
2026-08-28,Southland,0,Holcomb,3,False,False
2026-08-28,Ballard,0,La Monte,3,False,False
2026-08-28,Liberty (Mountain View),2,Lafayette County,0,False,False
2026-08-28,Sullivan,2,Lafayette County,0,False,False
2026-08-28,Jennings,0,Maplewood-Richmond Hts.,3,False,False
2026-08-28,Oak Grove,2,Maryville,0,False,False
2026-08-28,Notre Dame de Sion,2,Maryville,1,False,False
2026-08-28,Oak Ridge,3,Meadow Heights,0,False,False
2026-08-28,Nerinx Hall,2,Mehlville,0,False,False
2026-08-28,North Point,1,MICDS,2,False,False
2026-08-28,Vashon,3,Miller Career Academy,0,False,False
2026-08-28,Hannibal,1,Oak Grove,2,False,False
2026-08-28,Prairie Home,0,Otterville,3,False,False
2026-08-28,Liberty North,1,Ozark,3,False,False
2026-08-28,Whitfield,0,Parkway South,3,False,False
2026-08-28,Risco,1,Portageville,3,False,False
2026-08-28,Westminster Christian Academy,3,Principia,0,False,False
2026-08-28,St. Pius X (Kansas City),2,Raymore-Peculiar,1,False,False
2026-08-28,Savannah,1,Raymore-Peculiar,2,False,False
2026-08-28,Northland Christian,0,Rock Port,2,False,False
2026-08-28,Seckman,1,Savannah,2,False,False
2026-08-28,Northland Christian,0,Saxony Lutheran,2,False,False
2026-08-28,Spokane,3,School of the Ozarks,1,False,False
2026-08-28,North Pemiscot,3,Senath-Hornersville,0,False,False
2026-08-28,Miami (Amoret),0,Sheldon,3,False,False
2026-08-28,Lesterville,3,West County,1,False,False
2026-08-28,Greenville,3,Zalma,1,False,False
2026-08-28,St. Joseph's Academy,,Duchesne,,False,False
2026-08-28,Webster Groves,,MICDS,,False,False
2026-08-28,Lutheran North,,St. Charles West,,False,False
2026-08-28,St. Pius X (Festus),,St. Joseph's Academy,,False,False
2026-08-28,Rock Bridge,,Webster Groves,,False,False
2026-08-29,Liberty (Mountain View),1,Adrian,2,False,False
2026-08-29,Lafayette County,0,Adrian,2,False,False
2026-08-29,Stockton,1,Ash Grove,2,False,False
2026-08-29,Osceola,2,Ash Grove,0,False,False
2026-08-29,El Dorado Springs,0,Ash Grove,2,False,False
2026-08-29,Sparta,0,Ash Grove,2,False,False
2026-08-29,Hannibal,2,Belton,0,False,False
2026-08-29,Maryville,1,Belton,2,False,False
2026-08-29,Notre Dame de Sion,2,Bishop LeBlond,1,False,False
2026-08-29,Seymour,0,Blue Eye,2,False,False
2026-08-29,Couch,0,Blue Eye,2,False,False
2026-08-29,Gainesville,0,Blue Eye,2,False,False
2026-08-29,Helias Catholic,2,Bolivar,0,False,False
2026-08-29,Lebanon,2,Bolivar,0,False,False
2026-08-29,Summit Christian Academy,2,Bolivar,0,False,False
2026-08-29,Strafford,2,Bolivar,0,False,False
2026-08-29,Linn,1,Boonville,1,False,False
2026-08-29,Father Tolton,1,Boonville,1,False,False
2026-08-29,Christian Fellowship Sr.,0,Boonville,2,False,False
2026-08-29,Tipton,0,Boonville,2,False,False
2026-08-29,Laquey,0,Bourbon,2,False,False
2026-08-29,Plato,1,Bourbon,1,False,False
2026-08-29,Strafford,2,Branson,1,False,False
2026-08-29,Ash Grove,2,Buffalo,0,False,False
2026-08-29,El Dorado Springs,0,Buffalo,2,False,False
2026-08-29,Sparta,0,Buffalo,2,False,False
2026-08-29,Diamond,2,Buffalo,0,False,False
2026-08-29,Northland Christian,2,Cameron,0,False,False
2026-08-29,Rock Port,2,Cameron,0,False,False
2026-08-29,Clever,2,Capital City,3,False,False
2026-08-29,Branson,1,Carthage,1,False,False
2026-08-29,Rolla,0,Carthage,2,False,False
2026-08-29,Helias Catholic,2,Carthage,0,False,False
2026-08-29,Parkview,0,Carthage,2,False,False
2026-08-29,Springfield Catholic,0,Carthage,2,False,False
2026-08-29,Strafford,0,Carthage,2,False,False
2026-08-29,Ste. Genevieve,2,Central (Cape Girardeau),0,False,False
2026-08-29,Veritas Christian Academy,0,Central (Cape Girardeau),2,False,False
2026-08-29,Savannah,2,Central (St. Joseph),0,False,False
2026-08-29,Raymore-Peculiar,2,Central (St. Joseph),0,False,False
2026-08-29,Nerinx Hall,2,Clayton,1,False,False
2026-08-29,Marshfield,3,Clever,0,False,False
2026-08-29,Gainesville,2,Couch,0,False,False
2026-08-29,Seymour,0,Couch,2,False,False
2026-08-29,Winona,2,Crane,0,False,False
2026-08-29,Miller,2,Crane,0,False,False
2026-08-29,Marionville,1,Crane,1,False,False
2026-08-29,New Heights Christian,1,Crane,2,False,False
2026-08-29,Sarcoxie,2,Crane,0,False,False
2026-08-29,Owensville,2,Cuba,0,False,False
2026-08-29,North County,1,Cuba,2,False,False
2026-08-29,Licking,1,Cuba,2,False,False
2026-08-29,Ste. Genevieve,2,DeSoto,0,False,False
2026-08-29,Poplar Bluff,2,DeSoto,0,False,False
2026-08-29,Central (Cape Girardeau),1,DeSoto,1,False,False
2026-08-29,Warrenton,2,DeSoto,0,False,False
2026-08-29,Stockton,1,Diamond,1,False,False
2026-08-29,Osceola,2,Diamond,0,False,False
2026-08-29,Pleasant Hope,1,Diamond,1,False,False
2026-08-29,North Platte,0,East Buchanan,2,False,False
2026-08-29,Lathrop,0,East Buchanan,2,False,False
2026-08-29,Lawson,0,East Buchanan,2,False,False
2026-08-29,West Platte,2,East Buchanan,1,False,False
