date,team1,team1_classified,score1,team2,team2_classified,score2,forfeit,overtime
2026-08-20,Raytown South,True,,Raytown,True,,False,False
2026-08-20,Grandview,True,,Raytown,True,,False,False
2026-08-21,Lutheran St. Charles,True,,Holt,True,,False,False
2026-08-21,Westminster Christian Academy,True,,Holt,True,,False,False
2026-08-21,St. Charles West,True,,Holt,True,,False,False
2026-08-21,Westminster Christian Academy,True,,Lutheran St. Charles,True,,False,False
2026-08-21,St. Charles West,True,,Lutheran St. Charles,True,,False,False
2026-08-21,St. Charles West,True,,Westminster Christian Academy,True,,False,False
2026-08-22,New Haven,True,0,Calvary Lutheran,True,2,False,False
2026-08-22,Stover,True,2,Calvary Lutheran,True,0,False,False
2026-08-22,Maryville,True,2,Lathrop,True,0,False,False
2026-08-22,Cameron,True,0,Maryville,True,2,False,False
2026-08-22,Clarkton,True,3,Southland,True,0,False,False
2026-08-22,Twin Rivers,True,3,Southland,True,0,False,False
2026-08-24,Notre Dame de Sion,True,,St. Pius X (Kansas City),True,,False,False
2026-08-24,St. Michael the Archangel,True,,St. Pius X (Kansas City),True,,False,False
2026-08-24,St. Louis Christian Sr.,False,,Veritas Christian Academy,True,,False,False
2026-08-24,St. Louis Ignite,False,,Veritas Christian Academy,True,,False,False
2026-08-24,St. Charles,True,,Winfield,True,,False,False
2026-08-24,Wright City,True,,Winfield,True,,False,False
2026-08-25,Windsor (Imperial),True,1,DeSoto,True,1,False,False
2026-08-25,St. Clair,True,2,DeSoto,True,0,False,False
2026-08-25,Belle,True,2,Dixon,True,1,False,False
2026-08-25,Plato,True,2,Dixon,True,1,False,False
2026-08-25,Parkview,True,0,Fair Grove,True,2,False,False
2026-08-25,Republic,True,2,Fair Grove,True,0,False,False
2026-08-25,Logan-Rogersville,True,1,Fair Grove,True,1,False,False
2026-08-25,Ft. Zumwalt North,True,3,Ft. Zumwalt East,True,0,False,False
2026-08-25,Miller Career Academy,True,1,McKinley Classical Leadership,True,2,False,False
2026-08-25,Gateway with Soldan International Studies,True,0,McKinley Classical Leadership,True,2,False,False
2026-08-25,West Nodaway with Nodaway-Holt,True,3,Tarkio with Fairfax,True,0,False,False
2026-08-25,California,True,,Battle,True,,False,False
2026-08-25,Fatima,True,,Battle,True,,False,False
2026-08-25,Savannah,True,,Benton,True,,False,False
2026-08-25,Bishop LeBlond,True,,Benton,True,,False,False
2026-08-25,Central (St. Joseph),True,,Benton,True,,False,False
2026-08-25,Bolivar,True,,Buffalo,True,,False,False
2026-08-25,Osage,True,,Buffalo,True,,False,False
2026-08-25,Hillcrest,True,,Buffalo,True,,False,False
2026-08-25,Hayti,True,,Delta (Deering),True,,False,False
2026-08-25,Cooter,True,,Delta (Deering),True,,False,False
2026-08-25,Ft. Zumwalt South,True,,Ft. Zumwalt East,True,,False,False
2026-08-25,Ft. Zumwalt West,True,,Ft. Zumwalt East,True,,False,False
2026-08-25,Cooter,True,,Hayti,True,,False,False
2026-08-25,St. Paul Lutheran (Farmington),True,,Leopold,True,,False,False
2026-08-25,Crystal City,True,,Leopold,True,,False,False
2026-08-25,Gateway with Soldan International Studies,True,,Miller Career Academy,True,,False,False
2026-08-25,Sullivan,True,,Potosi,True,,False,False
2026-08-25,Owensville,True,,Potosi,True,,False,False
2026-08-25,Archie,True,,South Harrison,True,,False,False
2026-08-25,Mid-Buchanan,True,,South Harrison,True,,False,False
2026-08-25,Blue Springs South,True,,Staley,True,,False,False
2026-08-25,Blue Springs,True,,Staley,True,,False,False
2026-08-25,St. Teresa's Academy,True,,Staley,True,,False,False
2026-08-25,Lexington,True,,Sweet Springs,True,,False,False
2026-08-25,Wellington-Napoleon,True,,Sweet Springs,True,,False,False
2026-08-25,Richmond,True,,Sweet Springs,True,,False,False
2026-08-25,"Hamburg, IA",False,,Tarkio with Fairfax,True,,False,False
2026-08-26,Lebanon,True,3,Central (Springfield),True,0,False,False
2026-08-26,Strafford,True,2,Central (Springfield),True,1,False,False
2026-08-26,University City,True,,Normandy Collaborative,False,,False,False
2026-08-27,Clearwater,True,0,Arcadia Valley,True,3,False,False
2026-08-27,Dora,True,1,Bakersfield,True,3,False,False
2026-08-27,Ash Grove,True,3,Billings,True,2,False,False
2026-08-27,Park Hill,True,2,Blue Springs,True,0,False,False
2026-08-27,St. Michael the Archangel,True,0,Blue Springs,True,2,False,False
2026-08-27,Fort Osage,True,1,Blue Springs South,True,3,False,False
2026-08-27,"Harrison(Harrison, AR)",False,0,Branson,True,3,False,False
2026-08-27,Winona,True,3,Bunker,True,0,False,False
2026-08-27,Knob Noster,True,0,California,True,3,False,False
2026-08-27,Osage,True,3,Capital City,True,1,False,False
2026-08-27,Perryville,True,3,Central (Park Hills),True,0,False,False
2026-08-27,Smithville,True,3,Central (St. Joseph),True,0,False,False
2026-08-27,Greenville,True,0,Clarkton,True,3,False,False
2026-08-27,Hazelwood Central,True,0,Clayton,True,3,False,False
2026-08-27,STEAM Academy,True,3,Collegiate School of Med-Bio Science,True,2,False,False
2026-08-27,Gloria Deo Academy,True,0,Crane,True,3,False,False
2026-08-27,New Haven,True,0,Crystal City,True,3,False,False
2026-08-27,"Blytheville(Blytheville , AR)",False,0,Delta (Deering),True,3,False,False
2026-08-27,St. Charles,True,1,Duchesne,True,3,False,False
2026-08-27,Kelly,True,0,"Egyptian(Tamms, IL)",False,2,False,False
2026-08-27,St. Dominic,True,1,Eureka,True,2,False,False
2026-08-27,"Metro Mavs(Olathe , KS)",False,3,Faith Christian Academy,True,0,False,False
2026-08-27,New Bloomfield,True,0,Father Tolton,True,3,False,False
2026-08-27,Hickman,True,3,Fatima,True,1,False,False
2026-08-27,Northwest (Cedar Hill),True,0,Festus,True,3,False,False
2026-08-27,Lutheran St. Charles,True,2,Francis Howell Central,True,3,False,False
2026-08-27,Troy Buchanan,True,3,Ft. Zumwalt South,True,0,False,False
2026-08-27,St. Dominic,True,2,Ft. Zumwalt West,True,0,False,False
2026-08-27,Eureka,True,2,Ft. Zumwalt West,True,1,False,False
2026-08-27,Gateway with Soldan International Studies,True,0,Gateway Science Charter,True,3,False,False
2026-08-27,Greenfield,True,2,Golden City,True,0,False,False
2026-08-27,Everton,True,1,Golden City,True,1,False,False
2026-08-27,Lee's Summit West,True,3,Grain Valley,True,0,False,False
2026-08-27,Guadalupe Centers Charter,True,0,Grandview,True,3,False,False
2026-08-27,Oak Ridge,True,3,Grandview (Hillsboro),True,0,False,False
2026-08-27,Everton,True,0,Greenfield,True,2,False,False
2026-08-27,Hillcrest,True,3,Greenwood,True,1,False,False
2026-08-27,Rock Port,True,3,"Hamburg(Hamburg, IA)",False,0,False,False
2026-08-27,"Bellville East(Bellville, IL)",False,0,Incarnate Word Academy,True,3,False,False
2026-08-27,Hallsville,True,3,Kirksville,True,0,False,False
2026-08-27,Cristo Rey,True,3,"KSD (Kansas School for the Deaf)(Olathe , KS)",False,2,False,False
2026-08-27,Pattonville,True,0,Lafayette (Wildwood),True,2,False,False
2026-08-27,Parkway Central,True,0,Lafayette (Wildwood),True,2,False,False
2026-08-27,Wellington-Napoleon,True,0,Lafayette County,True,3,False,False
2026-08-27,Union Star with King City,True,0,Lathrop,True,3,False,False
2026-08-27,Viburnum,True,0,Lesterville,True,3,False,False
2026-08-27,Platte County,True,0,Liberty North,True,3,False,False
2026-08-27,McKinley Classical Leadership,True,0,Lift for Life Academy Charter,True,3,False,False
2026-08-27,St. Louis Ignite,False,0,Lutheran North,True,1,False,False
2026-08-27,Mansfield,True,3,Lutie,True,1,False,False
2026-08-27,Bernie,True,0,Malden,True,3,False,False
2026-08-27,Francis Howell,True,2,Marquette,True,3,False,False
2026-08-27,West Nodaway with Nodaway-Holt,True,3,Maysville,True,0,False,False
2026-08-27,St. Joseph Christian,True,0,Mid-Buchanan,True,3,False,False
2026-08-27,Lighthouse Sr. High,False,3,Mt. Vernon,True,2,False,False
2026-08-27,East Newton,True,3,New Heights Christian,True,0,False,False
2026-08-27,"Diagonal(Diagonal , IA)",False,3,North Nodaway,True,2,False,False
2026-08-27,Hillsboro,True,3,Notre Dame (Cape Girardeau),True,2,False,False
2026-08-27,Parkway West,True,1,Oakville,True,3,False,False
2026-08-27,Smith-Cotton,True,0,Odessa,True,3,False,False
2026-08-27,Zalma,True,0,Oran,True,3,False,False
2026-08-27,Lone Jack,True,3,Orrick,True,0,False,False
2026-08-27,Northwest (Hughesville),True,0,Osceola,True,3,False,False
2026-08-27,Eugene,True,2,Otterville,True,3,False,False
2026-08-27,Jefferson City,True,0,Ozark,True,3,False,False
2026-08-27,St. Michael the Archangel,True,2,Park Hill,True,1,False,False
2026-08-27,Pattonville,True,0,Parkway Central,True,2,False,False
2026-08-27,North Pemiscot,True,1,Portageville,True,3,False,False
2026-08-27,Park Hill South,True,3,Raymore-Peculiar,True,2,False,False
2026-08-27,Ruskin,True,0,Raytown,True,3,False,False
2026-08-27,William Chrisman,True,3,Raytown South,True,0,False,False
2026-08-27,Woodland,True,3,Richland (Essex),True,0,False,False
2026-08-27,Bloomfield,True,0,Risco,True,3,False,False
2026-08-27,Neosho,True,0,"Russellville(Russellville, AR)",False,3,False,False
2026-08-27,New Covenant Academy,True,2,Sarcoxie,True,0,False,False
2026-08-27,Caruthersville,True,0,Scott City,True,3,False,False
2026-08-27,Exeter,True,1,Seneca,True,3,False,False
2026-08-27,Tipton,True,3,Smithton,True,1,False,False
2026-08-27,East Buchanan,True,3,South Holt with Craig,True,0,False,False
2026-08-27,Bismarck,True,3,South Iron,True,1,False,False
2026-08-27,"Corning(Corning, AR)",False,3,Southland,True,0,False,False
2026-08-27,Liberty,True,2,St. Pius X (Kansas City),True,3,False,False
2026-08-27,Oak Park,True,0,Staley,True,3,False,False
2026-08-27,Christian Fellowship Sr.,True,3,Sunnydale Adventist Acad HS,False,1,False,False
2026-08-27,McDonald County,True,0,"Thaden(Rogers, AR)",False,3,False,False
2026-08-27,Holt,True,3,Timberland,True,2,False,False
2026-08-27,Warrensburg,True,3,Van Horn,True,0,False,False
2026-08-27,Stover,True,3,Versailles,True,1,False,False
2026-08-27,Cole Camp,True,3,Warsaw,True,0,False,False
2026-08-27,St. Francis Borgia,True,3,Washington,True,0,False,False
2026-08-27,Bowling Green,True,0,Winfield,True,3,False,False
2026-08-28,Cristo Rey,True,3,Academie Lafayette,True,0,False,False
2026-08-28,Benton,True,0,Adrian,True,2,False,False
2026-08-28,Sullivan,True,2,Adrian,True,0,False,False
2026-08-28,Duchesne,True,2,"Althoff Catholic(Belleville, IL)",False,0,False,False
2026-08-28,Couch,True,3,Bakersfield,True,1,False,False
2026-08-28,KIPP KC Legacy,True,0,Barstow,True,3,False,False
2026-08-28,Licking,True,2,Belle,True,1,False,False
2026-08-28,North Point,True,2,"Belleville West(Belleville , IL)",False,0,False,False
2026-08-28,Bishop LeBlond,True,1,Belton,True,2,False,False
2026-08-28,Notre Dame de Sion,True,0,Belton,True,2,False,False
2026-08-28,Liberty (Mountain View),True,1,Benton,True,2,False,False
2026-08-28,Richland (Essex),True,0,Bernie,True,3,False,False
2026-08-28,Faith Christian Academy,True,0,"Bishop Seabury(Lawrence , KS)",False,3,False,False
2026-08-28,Leopold,True,3,Bloomfield,True,0,False,False
2026-08-28,Valley Park,True,0,Bourbon,True,3,False,False
2026-08-28,Purdy,True,3,Bronaugh,True,0,False,False
2026-08-28,Saxony Lutheran,True,2,Cameron,True,0,False,False
2026-08-28,Fatima,True,2,Cameron,True,1,False,False
2026-08-28,"Piggott(Piggott, AR)",False,1,Campbell,True,3,False,False
2026-08-28,Nerinx Hall,True,2,Cardinal Ritter,True,0,False,False
2026-08-28,St. Pius X (Kansas City),True,2,Central (St. Joseph),True,0,False,False
2026-08-28,Seckman,True,2,Central (St. Joseph),True,0,False,False
2026-08-28,Delta (Deering),True,0,Clarkton,True,3,False,False
2026-08-28,Mehlville,True,2,Clayton,True,0,False,False
2026-08-28,Cardinal Ritter,True,0,Clayton,True,2,False,False
2026-08-28,Blair Oaks,True,0,"Columbia(Columbia, IL)",False,2,False,False
2026-08-28,St. Joseph's Academy,True,2,Duchesne,True,0,False,False
2026-08-28,Ellington,True,1,Eminence,True,3,False,False
2026-08-28,Marion C. Early,True,0,Everton,True,3,False,False
2026-08-28,MICDS,True,1,Farmington,True,2,False,False
2026-08-28,North Point,True,0,Farmington,True,3,False,False
2026-08-28,Rock Port,True,0,Fatima,True,2,False,False
2026-08-28,Hurley,True,0,Fordland,True,3,False,False
2026-08-28,Bishop LeBlond,True,2,Hannibal,True,0,False,False
2026-08-28,Collegiate School of Med-Bio Science,True,1,Hazelwood West,True,3,False,False
2026-08-28,Southland,True,0,Holcomb,True,3,False,False
2026-08-28,Ballard,True,0,La Monte,True,3,False,False
2026-08-28,Liberty (Mountain View),True,2,Lafayette County,True,0,False,False
2026-08-28,Sullivan,True,2,Lafayette County,True,0,False,False
2026-08-28,Jennings,True,0,Maplewood-Richmond Hts.,True,3,False,False
2026-08-28,Lutheran (Kansas City),True,0,"Maranatha Christian(Lenexa, KS)",False,3,False,False
2026-08-28,Oak Grove,True,2,Maryville,True,0,False,False
2026-08-28,Notre Dame de Sion,True,2,Maryville,True,1,False,False
2026-08-28,St. Pius X (Festus),True,0,"Mater Dei(Breese, IL)",False,2,False,False
2026-08-28,Oak Ridge,True,3,Meadow Heights,True,0,False,False
2026-08-28,Nerinx Hall,True,2,Mehlville,True,0,False,False
2026-08-28,North Point,True,1,MICDS,True,2,False,False
2026-08-28,Vashon,True,3,Miller Career Academy,True,0,False,False
2026-08-28,Hannibal,True,1,Oak Grove,True,2,False,False
2026-08-28,Prairie Home,True,0,Otterville,True,3,False,False
2026-08-28,Liberty North,True,1,Ozark,True,3,False,False
2026-08-28,Whitfield,True,0,Parkway South,True,3,False,False
2026-08-28,Risco,True,1,Portageville,True,3,False,False
2026-08-28,Westminster Christian Academy,True,3,Principia,True,0,False,False
2026-08-28,St. Pius X (Festus),True,0,"Quincy Notre Dame(Quincy, IL)",False,2,False,False
2026-08-28,Duchesne,True,0,"Quincy Notre Dame(Quincy, IL)",False,2,False,False
2026-08-28,St. Pius X (Kansas City),True,2,Raymore-Peculiar,True,1,False,False
2026-08-28,Savannah,True,1,Raymore-Peculiar,True,2,False,False
2026-08-28,St. Louis Christian Sr.,False,2,Rock Bridge,True,1,False,False
2026-08-28,Northland Christian,True,0,Rock Port,True,2,False,False
2026-08-28,Seckman,True,1,Savannah,True,2,False,False
2026-08-28,Northland Christian,True,0,Saxony Lutheran,True,2,False,False
2026-08-28,Spokane,True,3,School of the Ozarks,True,1,False,False
2026-08-28,North Pemiscot,True,3,Senath-Hornersville,True,0,False,False
2026-08-28,Miami (Amoret),True,0,Sheldon,True,3,False,False
2026-08-28,St. Pius X (Festus),True,0,St. Joseph's Academy,True,2,False,False
2026-08-28,Farmington,True,2,"St. Louis Panthers(St. Louis, MO)",False,1,False,False
2026-08-28,Blair Oaks,True,0,"St. Louis Panthers Volleyball(St. Louis, MO)",False,2,False,False
2026-08-28,Eagle Ridge Christian,False,0,St. Paul Lutheran (Farmington),True,3,False,False
2026-08-28,Rock Bridge,True,2,Webster Groves,True,0,False,False
2026-08-28,Lesterville,True,3,West County,True,1,False,False
2026-08-28,Greenville,True,3,Zalma,True,1,False,False
2026-08-28,St. Joseph's Academy,True,,"Althoff(Althoff, IL)",False,,False,False
2026-08-28,Lutheran North,True,,"Centralia(Centralia, IL)",False,,False,False
2026-08-28,Webster Groves,True,,MICDS,True,,False,False
2026-08-28,St. Joseph's Academy,True,,"Quincy Notre Dame(Quincy, IL)",False,,False,False
2026-08-28,Lutheran North,True,,St. Charles West,True,,False,False
2026-08-29,Liberty (Mountain View),True,1,Adrian,True,2,False,False
2026-08-29,Lafayette County,True,0,Adrian,True,2,False,False
2026-08-29,St. Pius X (Festus),True,2,"Althoff Catholic(Belleville, IL)",False,0,False,False
2026-08-29,Notre Dame (Cape Girardeau),True,2,Alton,False,0,False,False
2026-08-29,Pacific,True,2,"Alton(Alton, IL)",False,0,False,False
2026-08-29,Lutheran South,True,1,"Alton(Alton, IL)",False,2,False,False
2026-08-29,Stockton,True,1,Ash Grove,True,2,False,False
2026-08-29,Osceola,True,2,Ash Grove,True,0,False,False
2026-08-29,El Dorado Springs,True,0,Ash Grove,True,2,False,False
2026-08-29,Sparta,True,0,Ash Grove,True,2,False,False
2026-08-29,Rock Bridge,True,2,"Belleville West(Belleville , IL)",False,0,False,False
2026-08-29,Blair Oaks,True,2,"Belleville West(Belleville, IL)",False,0,False,False
2026-08-29,Hannibal,True,2,Belton,True,0,False,False
2026-08-29,Maryville,True,1,Belton,True,2,False,False
2026-08-29,Blue Springs South,True,0,"Bentonville West(Bentonville, AR)",False,2,False,False
