School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
St. Dominic,2.93,2.94,5.87,1,2,1
St. Teresa's Academy,2.72,2.97,5.68,2,1,2
St. Joseph's Academy,2.66,2.68,5.34,3,4,3
Helias Catholic,2.48,2.69,5.17,4,3,4
Smithville,2.21,2.43,4.64,6,5,5
Farmington,2.31,2.19,4.49,5,8,6
West Plains,1.97,2.27,4.23,8,6,7
Jefferson City,1.9,2.09,3.99,11,9,8
MICDS,1.93,1.97,3.9,10,11,9
Hannibal,1.62,2.22,3.84,16,7,10
Rockwood Summit,1.79,2.04,3.83,12,10,11
Pleasant Hill,1.98,1.63,3.61,7,16,12
Festus,1.71,1.88,3.6,14,12,13
Belton,1.93,1.5,3.43,9,17,14
Hillsboro,1.72,1.64,3.37,13,15,15
Benton,1.54,1.8,3.34,18,13,16
Marshfield,1.57,1.77,3.34,17,14,17
Ursuline Academy,1.63,1.26,2.88,15,21,18
Pacific,1.31,1.41,2.72,19,18,19
Webster Groves,1.18,1.35,2.54,22,19,20
Orchard Farm,1.23,1.16,2.39,21,22,21
Nerinx Hall,1.31,0.95,2.26,20,26,22
Carl Junction,1.13,1.12,2.24,24,23,23
Harrisonville,0.91,1.3,2.2,28,20,24
Parkway Central,0.92,1.03,1.96,27,24,25
Warrensburg,0.88,0.94,1.83,30,27,26
Logan-Rogersville,1.14,0.67,1.81,23,32,27
Willard,0.89,0.84,1.72,29,28,28
Holt,0.93,0.76,1.7,26,30,29
Lebanon,0.7,0.96,1.66,34,25,30
Windsor (Imperial),0.71,0.68,1.39,33,31,31
Washington,0.72,0.62,1.34,32,33,32
Kearney,0.46,0.82,1.28,36,29,33
Capital City,1.04,0.24,1.28,25,38,34
Lincoln College Prep,0.82,0.35,1.17,31,35,35
Camdenton,0.2,0.49,0.69,39,34,36
Parkway North,0.41,0.1,0.51,37,41,37
Union,0.47,0.04,0.51,35,43,38
Sikeston,0.16,0.26,0.41,40,37,39
Rolla,0.25,-0.02,0.22,38,45,40
Bolivar,0.02,0.19,0.21,42,39,41
Hillcrest,-0.12,0.32,0.2,46,36,42
Ft. Zumwalt South,0.06,0.07,0.13,41,42,43
Central (Cape Girardeau),-0.03,0.16,0.12,43,40,44
Warrenton,-0.05,-0.11,-0.15,44,46,45
Grandview,-0.24,0.02,-0.22,47,44,46
Clayton,-0.11,-0.14,-0.25,45,47,47
DeSoto,-0.55,-0.19,-0.74,51,48,48
Central (Springfield),-0.45,-0.32,-0.77,50,49,49
St. Charles,-0.42,-0.75,-1.17,48,53,50
Raytown,-0.82,-0.39,-1.2,53,50,51
Raytown South,-0.63,-0.63,-1.26,52,51,52
Affton,-0.44,-0.85,-1.3,49,54,53
Kirksville,-0.86,-0.63,-1.48,55,52,54
Ft. Zumwalt East,-0.82,-1.04,-1.86,54,59,55
Parkview,-0.97,-0.91,-1.88,56,56,56
Van Horn,-1.14,-0.86,-2.01,58,55,57
Marshall,-1.01,-1.21,-2.22,57,60,58
Winnetonka,-1.28,-0.99,-2.27,59,57,59
McDonald County,-1.64,-0.99,-2.64,61,58,60
Hazelwood East,-1.42,-1.63,-3.05,60,61,61
University City,-2.54,-2.69,-5.23,62,62,62
Northeast (Kansas City),-3.04,-3.18,-6.23,63,63,63
Gateway with Soldan International Studies,-3.15,-3.33,-6.48,64,64,64
Confluence Prep Academy Charter with Grand Center Arts Charter,-3.39,-4.05,-7.44,65,66,65
McCluer North,-3.76,-3.68,-7.44,66,65,66
East (Kansas City),-4.14,-4.07,-8.21,68,67,67
McCluer,-4.04,-4.36,-8.4,67,68,68
