Date,Home Team,Home Score,Away Team,Away Score
2026-08-22,New Haven,0,Calvary Lutheran,2
2026-08-22,Stover,2,Calvary Lutheran,0
2026-08-22,Maryville,2,Lathrop,0
2026-08-22,Cameron,0,Maryville,2
2026-08-22,Clarkton,3,Southland,0
2026-08-22,Twin Rivers,3,Southland,0
2026-08-25,Windsor (Imperial),1,DeSoto,1
2026-08-25,St. Clair,2,DeSoto,0
2026-08-25,Belle,2,Dixon,1
2026-08-25,Plato,2,Dixon,1
2026-08-25,Ft. Zumwalt North,3,Ft. Zumwalt East,0
2026-08-25,Miller Career Academy,1,McKinley Classical Leadership,2
2026-08-25,Gateway with Soldan International Studies,0,McKinley Classical Leadership,2
2026-08-25,West Nodaway with Nodaway-Holt,3,Tarkio with Fairfax,0
2026-08-26,Lebanon,3,Central (Springfield),0
2026-08-26,Strafford,2,Central (Springfield),1
2026-08-27,Clearwater,0,Arcadia Valley,3
2026-08-27,Dora,1,Bakersfield,3
2026-08-27,Ash Grove,3,Billings,2
2026-08-27,Park Hill,2,Blue Springs,0
2026-08-27,St. Michael the Archangel,0,Blue Springs,2
2026-08-27,Fort Osage,1,Blue Springs South,3
2026-08-27,Winona,3,Bunker,0
2026-08-27,Knob Noster,0,California,3
2026-08-27,Osage,3,Capital City,1
2026-08-27,Perryville,3,Central (Park Hills),0
2026-08-27,Smithville,3,Central (St. Joseph),0
2026-08-27,Greenville,0,Clarkton,3
2026-08-27,Hazelwood Central,0,Clayton,3
2026-08-27,STEAM Academy,3,Collegiate School of Med-Bio Science,2
2026-08-27,Gloria Deo Academy,0,Crane,3
2026-08-27,New Haven,0,Crystal City,3
2026-08-27,St. Charles,1,Duchesne,3
2026-08-27,St. Dominic,1,Eureka,2
2026-08-27,New Bloomfield,0,Father Tolton,3
2026-08-27,Hickman,3,Fatima,1
2026-08-27,Northwest (Cedar Hill),0,Festus,3
2026-08-27,Lutheran St. Charles,2,Francis Howell Central,3
2026-08-27,Troy Buchanan,3,Ft. Zumwalt South,0
2026-08-27,St. Dominic,2,Ft. Zumwalt West,0
2026-08-27,Eureka,2,Ft. Zumwalt West,1
2026-08-27,Gateway with Soldan International Studies,0,Gateway Science Charter,3
2026-08-27,Greenfield,2,Golden City,0
2026-08-27,Everton,1,Golden City,1
2026-08-27,Lee's Summit West,3,Grain Valley,0
2026-08-27,Guadalupe Centers Charter,0,Grandview,3
2026-08-27,Oak Ridge,3,Grandview (Hillsboro),0
2026-08-27,Everton,0,Greenfield,2
2026-08-27,Hillcrest,3,Greenwood,1
2026-08-27,Hallsville,3,Kirksville,0
2026-08-27,Pattonville,0,Lafayette (Wildwood),2
2026-08-27,Parkway Central,0,Lafayette (Wildwood),2
2026-08-27,Wellington-Napoleon,0,Lafayette County,3
2026-08-27,Union Star with King City,0,Lathrop,3
2026-08-27,Viburnum,0,Lesterville,3
2026-08-27,Platte County,0,Liberty North,3
2026-08-27,McKinley Classical Leadership,0,Lift for Life Academy Charter,3
2026-08-27,Mansfield,3,Lutie,1
2026-08-27,Bernie,0,Malden,3
2026-08-27,Francis Howell,2,Marquette,3
2026-08-27,West Nodaway with Nodaway-Holt,3,Maysville,0
2026-08-27,St. Joseph Christian,0,Mid-Buchanan,3
2026-08-27,East Newton,3,New Heights Christian,0
2026-08-27,Hillsboro,3,Notre Dame (Cape Girardeau),2
2026-08-27,Parkway West,1,Oakville,3
2026-08-27,Smith-Cotton,0,Odessa,3
2026-08-27,Zalma,0,Oran,3
2026-08-27,Lone Jack,3,Orrick,0
2026-08-27,Northwest (Hughesville),0,Osceola,3
2026-08-27,Eugene,2,Otterville,3
2026-08-27,Jefferson City,0,Ozark,3
2026-08-27,St. Michael the Archangel,2,Park Hill,1
2026-08-27,Pattonville,0,Parkway Central,2
2026-08-27,North Pemiscot,1,Portageville,3
2026-08-27,Park Hill South,3,Raymore-Peculiar,2
2026-08-27,Ruskin,0,Raytown,3
2026-08-27,William Chrisman,3,Raytown South,0
2026-08-27,Woodland,3,Richland (Essex),0
2026-08-27,Bloomfield,0,Risco,3
2026-08-27,New Covenant Academy,3,Sarcoxie,0
2026-08-27,Caruthersville,0,Scott City,3
2026-08-27,Exeter,1,Seneca,3
2026-08-27,Tipton,3,Smithton,1
2026-08-27,East Buchanan,3,South Holt with Craig,0
2026-08-27,Bismarck,3,South Iron,1
2026-08-27,Liberty,2,St. Pius X (Kansas City),3
2026-08-27,Oak Park,0,Staley,3
2026-08-27,Holt,3,Timberland,2
2026-08-27,Warrensburg,3,Van Horn,0
2026-08-27,Stover,3,Versailles,1
2026-08-27,Cole Camp,3,Warsaw,0
2026-08-27,St. Francis Borgia,3,Washington,0
2026-08-27,Bowling Green,0,Winfield,3
2026-08-28,Cristo Rey,3,Academie Lafayette,0
2026-08-28,Benton,0,Adrian,2
2026-08-28,Sullivan,2,Adrian,0
2026-08-28,Couch,3,Bakersfield,1
2026-08-28,KIPP KC Legacy,0,Barstow,3
2026-08-28,Licking,2,Belle,1
2026-08-28,Bishop LeBlond,1,Belton,2
2026-08-28,Notre Dame de Sion,0,Belton,2
2026-08-28,Liberty (Mountain View),1,Benton,2
2026-08-28,Richland (Essex),0,Bernie,3
2026-08-28,Leopold,3,Bloomfield,0
2026-08-28,Valley Park,0,Bourbon,3
2026-08-28,Purdy,3,Bronaugh,0
2026-08-28,Saxony Lutheran,2,Cameron,0
2026-08-28,Fatima,2,Cameron,1
2026-08-28,Nerinx Hall,2,Cardinal Ritter,0
